0.0	326.55	-28.8
0.5	332.9365	-27.45238892877084
1.0	339.32300000000004	-26.104777857541677
1.5	345.7095	-24.757166786312517
2.0	352.096	-23.409555715083354
2.5	358.4825	-22.061944643854194
3.0	364.869	-23.342728040201006
3.5	371.25550000000004	-24.662996046901174
4.0	377.642	-25.98326405360134
4.5	384.0285	-27.303532060301507
5.0	390.415	-28.61301642881072
5.5	396.80150000000003	-28.876065005025126
6.0	403.188	-29.13911358123953
6.5	409.5745	-29.402162157453937
7.0	415.961	-29.665210733668342
7.5	422.3475	-29.915851457286433
8.0	428.73400000000004	-29.826404221105527
8.5	435.1205	-29.736956984924625
9.0	441.50700000000006	-29.654573065326634
9.5	447.8935	-29.70582934673367
10.0	454.28	-29.75214862311558
10.5	460.66650000000004	-29.721394854271356
11.0	467.053	-29.690641085427135
11.5	473.4395	-29.659887316582914
12.0	479.826	-29.629133547738693
12.5	486.2125	-29.600340663316583
13.0	492.59900000000005	-29.592601969849245
13.5	498.9855	-29.58486327638191
14.0	505.37200000000007	-29.57712458291457
14.5	511.7585	-29.569385889447236
15.0	518.145	-29.56645390954774
15.5	524.5315	-29.602333306532664
16.0	530.918	-29.63821270351759
16.5	537.198697125	-29.674092100502513
17.0	543.01931	-29.709971497487437
17.5	548.353696875	-29.74388064321608
18.0	553.188948	-29.765187175879397
18.5	557.6324909162502	-29.786493708542714
19.0	562.01797299	-29.80780024120603
19.5	566.36952994875	-29.82910677386935
20.0	570.68728	-29.849934316582917
20.5	574.97134135125	-29.86825089949749
21.0	579.22183221	-29.88656748241206
21.5	583.43887078375	-29.904884065326634
22.0	587.62257528	-29.923200648241206
22.5	591.77306390625	-29.941517231155782
23.0	595.89045487	-29.959833814070354
23.5	599.97486637875	-29.978150396984926
24.0	604.02641664	-29.9964669798995
24.5	608.0452238612501	-30.01478356281407
25.0	612.03140625	-30.033512095477388
25.5	615.98508201375	-30.053788477386934
26.0	619.90636936	-30.074064859296485
26.5	623.79538649625	-30.09434124120603
27.0	627.65225163	-30.114617623115578
27.5	631.4770829687501	-30.134894005025128
28.0	635.26999872	-30.155170386934675
28.5	639.03111709125	-30.17544676884422
29.0	642.7605562900001	-30.19572315075377
29.5	646.45843452375	-30.215999532663318
30.0	650.1248700000001	-30.234504201005027
30.5	653.75998092625	-30.247971537688443
31.0	657.36388551	-30.26143887437186
31.5	660.9367019587501	-30.274906211055278
32.0	664.47854848	-30.288373547738694
32.5	667.98954328125	-30.30184088442211
33.0	671.46980457	-30.31530822110553
33.5	674.91945055375	-30.328775557788944
34.0	678.33859944	-30.34224289447236
34.5	681.72736943625	-30.35571023115578
35.0	685.0858787500001	-30.36921913567839
35.5	688.41424558875	-30.382820475711892
36.0	691.71258816	-30.39642181574539
36.5	694.98102467125	-30.410023155778894
37.0	698.21967333	-30.423624495812394
37.5	701.42865234375	-30.437225835845897
38.0	704.60807992	-30.450827175879397
38.5	707.75807426625	-30.464428515912896
39.0	710.8787535900001	-30.4780298559464
39.5	713.9702360987501	-30.4916311959799
40.0	717.0326400000001	-30.50406807035176
40.5	720.06608350125	-30.51443657956449
41.0	723.0706848100001	-30.52480508877722
41.5	726.0465621337501	-30.53517359798995
42.0	728.9938336800002	-30.54554210720268
42.5	731.91261765625	-30.55591061641541
43.0	734.80303227	-30.566279125628142
43.5	737.66519572875	-30.57664763484087
44.0	740.4992262400001	-30.587016144053603
44.5	743.3052420112499	-30.59738465326633
45.0	746.08336125	-30.607457708542714
45.5	748.8337021637501	-30.617105949748744
46.0	751.5563829600001	-30.626754190954774
46.5	754.25152184625	-30.636402432160803
47.0	756.91923703	-30.646050673366833
47.5	759.5596467187501	-30.655698914572866
48.0	762.1728691200001	-30.665347155778896
48.5	764.75902244125	-30.674995396984926
49.0	767.31822489	-30.684643638190956
49.5	769.85059467375	-30.694291879396985
50.0	772.35625	-30.702837798994974
50.5	774.83530907625	-30.710090730318257
51.0	777.2878901100001	-30.71734366164154
51.5	779.71411130875	-30.724596592964822
52.0	782.11409088	-30.731849524288105
52.5	784.4879470312501	-30.739102455611388
53.0	786.83579797	-30.746355386934674
53.5	789.15776190375	-30.753608318257957
54.0	791.45395704	-30.76086124958124
54.5	793.7245015862501	-30.768114180904522
55.0	795.96951375	-30.775426934673366
55.5	798.1891117387502	-30.78279711892797
56.0	800.3834137599999	-30.790167303182578
56.5	802.55253802125	-30.797537487437186
57.0	804.69660273	-30.80490767169179
57.5	806.8157260937501	-30.812277855946398
58.0	808.91002632	-30.819648040201002
58.05	809.1180956210512	-30.820385058626464
58.1	809.3259179910102	-30.821122077051925
58.15	809.5334935480837	-30.821859095477386
58.2	809.7408224104801	-30.822596113902847
58.25	809.9479046964063	-30.823333132328308
58.3	810.1547405240699	-30.824070150753766
58.35	810.3613300116788	-30.824807169179227
58.4	810.56767327744	-30.825544187604688
58.45	810.7737704395613	-30.82628120603015
58.5	810.97962161625	-30.82701822445561
58.55	811.1852269257138	-30.82775524288107
58.6	811.39058648616	-30.828492261306533
58.65	811.5957004157963	-30.82922927973199
58.7	811.80056883283	-30.82996629815745
58.75	812.0051918554689	-30.830703316582913
58.8	812.2095696019201	-30.831440335008374
58.85	812.4137021903914	-30.832177353433835
58.9	812.6175897390899	-30.832914371859296
58.95	812.8212323662239	-30.833651390284757
59.0	813.0246301900002	-30.83438840871022
59.05	813.2277833286262	-30.835125427135676
59.1	813.4306919003102	-30.835862445561137
59.15	813.6333560232588	-30.836599463986598
59.2	813.8357758156801	-30.83733648241206
59.25	814.0379513957813	-30.83807350083752
