0.0,1.208e-05
0.5,1.208e-05
1.0,1.1893793103448275e-05
1.5,1.07225e-05
2.0,9.910448275862069e-06
2.5,9.857879310344829e-06
3.0,9.806724137931034e-06
3.5,9.757241379310345e-06
4.0,9.713482758620689e-06
4.5,9.673293103448276e-06
5.0,9.645172413793103e-06
5.5,9.621137931034482e-06
6.0,9.611758620689655e-06
6.5,9.605844827586207e-06
7.0,9.61344827586207e-06
7.5,9.620465517241379e-06
8.0,9.619827586206896e-06
8.5,9.618586206896552e-06
9.0,9.61396551724138e-06
9.5,9.5865e-06
10.0,9.566586206896552e-06
10.5,9.540310344827585e-06
11.0,9.510793103448276e-06
11.5,9.47851724137931e-06
12.0,9.429241379310346e-06
12.5,9.385637931034482e-06
13.0,9.33893103448276e-06
13.5,9.289534482758621e-06
14.0,9.245724137931034e-06
14.5,9.183999999999999e-06
15.0,9.128137931034483e-06
15.5,9.085775862068965e-06
16.0,9.022931034482758e-06
16.5,8.94955172413793e-06
17.0,8.888724137931036e-06
17.5,8.829844827586208e-06
18.0,8.756655172413793e-06
18.5,8.677258620689654e-06
19.0,8.587379310344828e-06
19.5,8.496137931034483e-06
20.0,8.400551724137931e-06
20.5,8.301224137931035e-06
21.0,8.199275862068966e-06
21.5,8.096844827586208e-06
22.0,7.992862068965518e-06
22.5,7.886827586206897e-06
23.0,7.779413793103448e-06
23.5,7.669775862068965e-06
24.0,7.5600689655172405e-06
24.5,7.449913793103449e-06
25.0,7.336793103448276e-06
25.5,7.220965517241379e-06
26.0,7.103896551724138e-06
26.5,6.983844827586206e-06
27.0,6.8626206896551725e-06
27.5,6.73948275862069e-06
28.0,6.617310344827586e-06
28.5,6.4947413793103445e-06
29.0,6.369e-06
29.5,6.247086206896552e-06
30.0,6.121827586206897e-06
30.5,5.995258620689655e-06
31.0,5.871034482758621e-06
31.5,5.746137931034482e-06
32.0,5.62003448275862e-06
32.5,5.496206896551725e-06
33.0,5.372379310344827e-06
33.5,5.252431034482759e-06
34.0,5.132310344827586e-06
34.5,5.014586206896552e-06
35.0,4.900310344827587e-06
35.5,4.784568965517241e-06
36.0,4.6731034482758625e-06
